resolution,bit_depth,number_faces,number_training_images,precision,recall
240,8,100,3,0.891566265060241,0.83
240,3,100,1,0.5138888888888888,0.72
160,3,100,1,0.6133333333333333,0.75
80,3,100,1,0.48717948717948717,0.78
80,4,100,1,0.5609756097560976,0.82
80,5,100,1,0.6309523809523809,0.84
80,6,100,1,0.5555555555555556,0.9
80,7,100,1,0.6436781609195402,0.87
80,8,100,1,0.6705882352941176,0.85
80,3,300,1,0.6091954022988506,0.8729096989966555
80,3,600,1,0.5849056603773585,0.8877721943048577
80,3,100,2,0.6944444444444444,0.72
80,3,100,3,0.7375,0.8
